Элемент,Описание
🚀 Boot-экран,Анимированная загрузка с логом ядра Kenga
🖥️ Рабочий стол,"Обои, glassmorphism док-бар, топбар с часами/CPU/RAM"
🪟 7 окон-приложений,"Агенты, Чат, Терминал, Монитор, Файлы, Настройки, О системе"
💬 Чат с агентом,"IPC-диалог, агент отвечает на вопросы по-русски"
⌨️ Терминал,20+ команд: help", "ps", "mem", "spawn", "model", "reboot…
📊 Монитор,"Живые графики RAM/CPU, таблица процессов round-robin"
📁 Файлы,VFS-дерево с исходниками .kenga
🔒 Экран блокировки,Часы + аватар
⚡ Питание,Блокировка / перезагрузка / выключение
🎨 Настройки,Смена обоев и акцентного цвета
📱 Мобильная адаптация,"Док снизу, адаптивные окна"
